ageGroup,sex,population
00-14,Male,762249
15-24,Male,567776
25-44,Male,1266498
45-64,Male,956399
65+,Male,419449
00-14,Female,729595
15-24,Female,574466
25-44,Female,1346875
45-64,Female,1087523
65+,Female,625867
